,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3
150,2006-2007,22,Rimini,it ITA,2. Serie B,5th,39,39,"3,510",39.0,36,0.92,196.0,160.0,81.6,17,14,8,14,35.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,2007-2008,23,Udinese,it ITA,1. Serie A,7th,35,35,"3,150",35.0,45,1.29,168.0,123.0,73.2,16,8,11,12,34.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,2008-2009,24,Udinese,it ITA,1. Serie A,7th,34,34,"2,975",33.1,45,1.36,155.0,110.0,71.0,15,9,9,7,20.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,2009-2010,25,Udinese,it ITA,1. Serie A,15th,37,37,"3,330",37.0,56,1.51,185.0,129.0,69.7,11,11,15,9,24.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2010-2011,26,Udinese,it ITA,1. Serie A,4th,35,35,"3,150",35.0,40,1.14,141.0,101.0,71.6,19,5,11,14,40.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,2011-2012,27,Udinese,it ITA,1. Serie A,3rd,38,38,"3,420",38.0,35,0.92,153.0,118.0,77.1,18,10,10,17,44.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2012-2013,28,Inter,it ITA,1. Serie A,9th,35,35,"3,150",35.0,53,1.51,165.0,112.0,67.9,15,6,14,9,25.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,2013-2014,29,Inter,it ITA,1. Serie A,5th,36,36,"3,110",34.6,32,0.93,145.0,113.0,77.9,14,15,7,16,44.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,2014-2015,30,Inter,it ITA,1. Serie A,8th,37,37,"3,330",37.0,47,1.27,144.0,97.0,67.4,13,13,11,11,29.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,2015-2016,31,Inter,it ITA,1. Serie A,4th,36,36,"3,240",36.0,34,0.94,146.0,112.0,76.7,19,7,10,15,41.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
